BusinessEntityID,NationalIDNumber,LoginID,OrganizationNode,OrganizationLevel,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,rowguid,ModifiedDate
1,295847284,adventure-works\ken0,NULL,NULL,Accountant,29.01.1969,S,M,14.01.2009,1,99,69,1,F01251E5-96A3-448D-981E-0F99D789110D,2014-06-30 00:00:00.000
2,245797967,adventure-works\terri0,0x58,1,Accounts Manager,01.08.1971,S,F,31.01.2008,1,1,20,1,45E8F437-670D-4409-93CB-F9424A40D6EE,2014-06-30 00:00:00.000
3,509647174,adventure-works\roberto0,0x5AC0,2,Accounts Payable Specialist,12.11.1974,M,M,11.11.2007,1,2,21,1,9BBBFB2C-EFBB-4217-9AB7-F97689328841,2014-06-30 00:00:00.000
4,112457891,adventure-works\rob0,0x5AD6,3,Accounts Payable Specialist,23.12.1974,S,M,05.12.2007,0,48,80,1,59747955-87B8-443F-8ED4-F8AD3AFDF3A9,2014-06-30 00:00:00.000
5,695256908,adventure-works\gail0,0x5ADA,3,Accounts Receivable Specialist,27.09.1952,M,F,06.01.2008,1,5,22,1,EC84AE09-F9B8-4A15-B4A9-6CCBAB919B08,2014-06-30 00:00:00.000
6,998320692,adventure-works\jossef0,0x5ADE,3,Accounts Receivable Specialist,11.03.1959,M,M,24.01.2008,1,6,23,1,E39056F1-9CD5-478D-8945-14ACA7FBDCDD,2014-06-30 00:00:00.000
7,134969118,adventure-works\dylan0,0x5AE1,3,Accounts Receivable Specialist,24.02.1987,M,M,08.02.2009,1,61,50,1,4F46DECA-EF01-41FD-9829-0ADAB368E431,2014-06-30 00:00:00.000
8,811994146,adventure-works\diane1,0x5AE158,4,Application Specialist,05.06.1986,S,F,29.12.2008,1,62,51,1,31112635-663B-4018-B4A2-A685C0BF48A4,2014-06-30 00:00:00.000
9,658797903,adventure-works\gigi0,0x5AE168,4,Application Specialist,21.01.1979,M,F,16.01.2009,1,63,51,1,50B6CDC6-7570-47EF-9570-48A64B5F2ECF,2014-06-30 00:00:00.000
10,879342154,adventure-works\michael6,0x5AE178,4,Application Specialist,30.11.1984,M,M,03.05.2009,1,16,64,1,EAA43680-5571-40CB-AB1A-3BF68F04459E,2014-06-30 00:00:00.000
11,974026903,adventure-works\ovidiu0,0x5AE3,3,Application Specialist,17.01.1978,S,M,05.12.2010,0,7,23,1,F68C7C19-FAC1-438C-9BB7-AC33FCC341C3,2014-06-30 00:00:00.000
12,480168528,adventure-works\thierry0,0x5AE358,4,Assistant to the Chief Financial Officer,29.07.1959,M,M,11.12.2007,0,9,24,1,1D955171-E773-4FAD-8382-40FD898D5D4D,2014-06-30 00:00:00.000
13,486228782,adventure-works\janice0,0x5AE368,4,Benefits Specialist,28.05.1989,M,F,23.12.2010,0,8,24,1,954B91B6-5AA7-48C2-8685-6E11C6E5C49A,2014-06-30 00:00:00.000
14,42487730,adventure-works\michael8,0x5AE5,3,Buyer,16.06.1979,S,M,30.12.2010,1,3,21,1,46286CA4-46DD-4DDB-9128-85B67E98D1A9,2014-06-30 00:00:00.000
15,56920285,adventure-works\sharon0,0x5AE7,3,Buyer,02.05.1961,M,F,18.01.2011,1,4,22,1,54F2FDC0-87C4-4065-A7A8-9AC8EA624235,2014-06-30 00:00:00.000
16,24756624,adventure-works\david0,0x68,1,Buyer,19.03.1975,S,M,20.12.2007,1,40,40,1,E87029AA-2CBA-4C03-B948-D83AF0313E28,2014-06-30 00:00:00.000
17,253022876,adventure-works\kevin0,0x6AC0,2,Buyer,03.05.1987,S,M,26.01.2007,0,42,41,1,1B480240-95C0-410F-A717-EB29943C8886,2014-06-30 00:00:00.000
18,222969461,adventure-works\john5,0x6B40,2,Buyer,06.03.1978,S,M,07.02.2011,0,48,44,1,64730415-1F58-4E5B-8FA8-5E4DAEBA53B4,2014-06-30 00:00:00.000
19,52541318,adventure-works\mary2,0x6BC0,2,Buyer,29.01.1978,S,F,14.02.2011,0,43,41,1,1F6DA901-C7F7-48A8-8EEF-D81868D72B52,2014-06-30 00:00:00.000
20,323403273,adventure-works\wanida0,0x6C20,2,Buyer,17.03.1975,M,F,07.01.2011,0,41,40,1,43CCA446-DA1C-454C-8530-873AD2923E1B,2014-06-30 00:00:00.000
21,243322160,adventure-works\terry0,0x6C60,2,Buyer,04.02.1986,M,M,02.03.2009,0,44,42,1,AD0D7626-4506-45C4-898F-9D7A0E13AABD,2014-06-30 00:00:00.000
22,95958330,adventure-works\sariya0,0x6CA0,2,Buyer,21.05.1987,S,M,12.12.2008,0,45,42,1,AF21F1B7-0691-48AD-B325-B8F2D7B2268A,2014-06-30 00:00:00.000
23,767955365,adventure-works\mary0,0x6CE0,2,Chief Executive Officer,13.09.1962,M,F,12.01.2009,0,46,43,1,90899830-127E-4876-85CA-7F6E03025281,2014-06-30 00:00:00.000
