BusinessEntityID,NationalIDNumber,LoginID,OrganizationNode,OrganizationLevel,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,rowguid
1,295847284,adventure-works\ken0,NULL,NULL,Accountant,29-Jan-69,S,M,14.01.2009,1,99,69,1,F01251E5-96A3-448D-981E-0F99D789110D
2,245797967,adventure-works\terri0,0x58,1,Accounts Manager,1-Aug-71,S,F,31.01.2008,1,1,20,1,45E8F437-670D-4409-93CB-F9424A40D6EE
3,509647174,adventure-works\roberto0,0x5AC0,2,Accounts Payable Specialist,12-Nov-74,M,M,11.11.2007,1,2,21,1,9BBBFB2C-EFBB-4217-9AB7-F97689328841
4,112457891,adventure-works\rob0,0x5AD6,3,Accounts Payable Specialist,23-Dec-74,S,M,05.12.2007,0,48,80,1,59747955-87B8-443F-8ED4-F8AD3AFDF3A9
5,695256908,adventure-works\gail0,0x5ADA,3,Accounts Receivable Specialist,27-Sep-52,M,F,06.01.2008,1,5,22,1,EC84AE09-F9B8-4A15-B4A9-6CCBAB919B08
6,998320692,adventure-works\jossef0,0x5ADE,3,Accounts Receivable Specialist,11-Mar-59,M,M,24.01.2008,1,6,23,1,E39056F1-9CD5-478D-8945-14ACA7FBDCDD
7,134969118,adventure-works\dylan0,0x5AE1,3,Accounts Receivable Specialist,24-Feb-87,M,M,08.02.2009,1,61,50,1,4F46DECA-EF01-41FD-9829-0ADAB368E431
8,811994146,adventure-works\diane1,0x5AE158,4,Application Specialist,5-Jun-86,S,F,29.12.2008,1,62,51,1,31112635-663B-4018-B4A2-A685C0BF48A4
9,658797903,adventure-works\gigi0,0x5AE168,4,Application Specialist,21-Jan-79,M,F,16.01.2009,1,63,51,1,50B6CDC6-7570-47EF-9570-48A64B5F2ECF
10,879342154,adventure-works\michael6,0x5AE178,4,Application Specialist,30-Nov-84,M,M,03.05.2009,1,16,64,1,EAA43680-5571-40CB-AB1A-3BF68F04459E
11,974026903,adventure-works\ovidiu0,0x5AE3,3,Application Specialist,17-Jan-78,S,M,05.12.2010,0,7,23,1,F68C7C19-FAC1-438C-9BB7-AC33FCC341C3
12,480168528,adventure-works\thierry0,0x5AE358,4,Assistant to the Chief Financial Officer,29-Jul-59,M,M,11.12.2007,0,9,24,1,1D955171-E773-4FAD-8382-40FD898D5D4D
13,486228782,adventure-works\janice0,0x5AE368,4,Benefits Specialist,28-May-89,M,F,23.12.2010,0,8,24,1,954B91B6-5AA7-48C2-8685-6E11C6E5C49A
14,42487730,adventure-works\michael8,0x5AE5,3,Buyer,16-Jun-79,S,M,30.12.2010,1,3,21,1,46286CA4-46DD-4DDB-9128-85B67E98D1A9
15,56920285,adventure-works\sharon0,0x5AE7,3,Buyer,2-May-61,M,F,18.01.2011,1,4,22,1,54F2FDC0-87C4-4065-A7A8-9AC8EA624235
16,24756624,adventure-works\david0,0x68,1,Buyer,19-Mar-75,S,M,20.12.2007,1,40,40,1,E87029AA-2CBA-4C03-B948-D83AF0313E28
17,253022876,adventure-works\kevin0,0x6AC0,2,Buyer,3-May-87,S,M,26.01.2007,0,42,41,1,1B480240-95C0-410F-A717-EB29943C8886
18,222969461,adventure-works\john5,0x6B40,2,Buyer,6-Mar-78,S,M,07.02.2011,0,48,44,1,64730415-1F58-4E5B-8FA8-5E4DAEBA53B4
19,52541318,adventure-works\mary2,0x6BC0,2,Buyer,29-Jan-78,S,F,14.02.2011,0,43,41,1,1F6DA901-C7F7-48A8-8EEF-D81868D72B52
20,323403273,adventure-works\wanida0,0x6C20,2,Buyer,17-Mar-75,M,F,07.01.2011,0,41,40,1,43CCA446-DA1C-454C-8530-873AD2923E1B
21,243322160,adventure-works\terry0,0x6C60,2,Buyer,4-Feb-86,M,M,02.03.2009,0,44,42,1,AD0D7626-4506-45C4-898F-9D7A0E13AABD
22,95958330,adventure-works\sariya0,0x6CA0,2,Buyer,21-May-87,S,M,12.12.2008,0,45,42,1,AF21F1B7-0691-48AD-B325-B8F2D7B2268A
23,767955365,adventure-works\mary0,0x6CE0,2,Chief Executive Officer,13-Sep-62,M,F,12.01.2009,0,46,43,1,90899830-127E-4876-85CA-7F6E03025281
24,72636981,adventure-works\jill0,0x6D10,2,Chief Financial Officer,18-Jun-79,M,F,18.01.2009,0,47,43,1,53575C58-FBA1-4C1A-B8FF-95E050B44393
25,519899904,adventure-works\james1,0x78,1,Control Specialist,7-Jan-83,S,M,03.02.2009,1,64,52,1,D7314F24-2AF1-429C-9BBB-4038F45F3E6C
26,277173473,adventure-works\peter0,0x7AC0,2,Control Specialist,3-Nov-82,M,M,01.12.2008,1,43,41,1,69D5D162-E817-45E7-9DEC-5D9B8310E7B1
27,446466105,adventure-works\jo0,0x7AD6,3,Database Administrator,8-Oct-56,S,F,27.02.2008,0,80,60,1,83FFAAC6-B895-481F-B897-14F965D4DA47
28,14417807,adventure-works\guy1,0x7AD6B0,4,Database Administrator,13-Mar-88,M,M,30.06.2006,0,21,30,1,AAE1D04A-C237-4974-B4D5-935247737718
29,948320468,adventure-works\mark1,0x7AD6D0,4,Design Engineer,25-Sep-79,S,M,23.01.2009,0,19,29,1,CDB2C6DF-93E5-4558-91C8-424D5E7C658B
30,410742000,adventure-works\britta0,0x7AD6F0,4,Design Engineer,28-Sep-89,M,F,29.01.2009,0,14,27,1,FC12677F-42F8-4790-AD69-685088ED7E5F
31,750246141,adventure-works\margie0,0x7AD708,4,Design Engineer,20-May-86,M,F,04.01.2009,0,18,29,1,352D6E2F-655B-49A2-9FEC-EFD7D8CD0D30
32,330211482,adventure-works\rebecca0,0x7AD718,4,Document Control Assistant,10-Jul-77,M,F,29.12.2008,0,23,31,1,BDADEB5C-A596-4DA1-88BA-842C7A0CC10F
